calcarine,pos,insula,central,cos,sts,sfs,ips,loc,ifs,ots_lat,its
2.393,2.368,2.352,2.309,1.755,2.257,2.129,2.012,2.101,1.974,2.161,2.592
2.233,2.285,2.244,2.2,2.052,2.27,2.24,2.165,2.339,2.263,2.301,2.513
2.219,2.401,2.459,2.319,2.178,2.416,2.352,2.297,2.614,2.151,2.336,2.43
2.11,2.436,2.499,2.217,2.066,2.37,2.096,2.157,2.218,2.115,2.023,2.365
2.302,2.689,2.875,2.437,2.372,2.533,2.494,2.296,2.437,2.284,2.324,2.453
2.305,2.396,2.456,2.264,1.581,2.126,2.201,2.157,2.033,2.017,1.946,2.246
2.744,2.256,2.581,2.616,2.06,2.244,2.614,2.306,2.216,2.249,2.34,2.381
2.375,2.543,2.88,2.655,2.239,2.377,2.667,2.451,2.339,2.546,2.553,2.553
2.681,2.365,2.457,2.372,2.252,2.347,2.375,2.382,2.411,2.183,2.233,2.251
2.51,2.561,2.442,2.581,2.213,2.412,2.456,2.442,2.339,2.346,2.222,2.269
2.269,2.614,2.643,2.246,2.398,2.45,2.621,2.493,2.376,2.404,2.364,2.53
2.35,2.57,2.405,2.402,2.271,2.372,2.13,2.31,2.465,2.286,2.317,2.576
2.407,2.47,2.514,2.631,2.235,2.481,2.292,2.347,2.552,2.404,2.213,2.549
2.264,2.823,2.829,2.845,2.337,2.643,2.565,2.417,2.466,2.376,2.392,2.723
2.246,2.375,2.439,2.544,2.179,2.367,2.305,2.245,2.159,2.22,2.191,2.315
2.408,2.601,2.876,2.606,2.247,2.533,2.611,2.488,2.23,2.297,2.261,2.594
2.597,2.471,2.473,2.341,2.3,2.41,2.301,2.315,2.171,2.391,2.081,2.508
2.343,2.378,2.184,2.352,2.351,2.46,2.255,2.352,2.179,2.343,2.098,2.367
2.7,2.912,2.733,2.688,2.439,2.73,2.586,2.611,2.435,2.36,2.29,2.617
2.349,2.368,2.536,2.38,2.178,2.387,2.584,2.196,2.37,2.473,2.333,2.314
2.116,2.418,2.457,2.278,2.011,2.329,2.233,2.179,2.324,2.134,2.359,2.324
2.014,2.466,2.53,2.177,2.231,2.42,2.328,2.512,2.514,2.368,2.489,2.599
2.571,2.254,2.219,2.201,2.248,2.182,2.221,2.317,2.249,2.297,2.3,2.274
2.429,2.455,2.457,2.229,2.217,2.317,2.511,2.402,2.472,2.19,2.219,2.463
2.314,2.159,2.24,2.269,2.089,2.273,2.122,2.138,2.106,2.19,2.082,2.662
2.229,2.108,2.394,2.382,2.34,2.245,2.258,2.139,2.106,2.24,2.324,2.414
2.492,2.654,2.722,2.045,2.497,2.602,2.513,2.522,2.468,2.384,2.782,2.648
2.596,2.782,3.144,2.378,2.796,2.888,2.709,2.808,2.501,2.771,2.99,2.889
2.242,2.085,2.237,2.103,1.835,2.19,2.213,2.137,2.265,2.348,2.334,2.506
2.407,2.471,3.061,2.479,2.67,2.411,2.537,2.393,2.09,2.57,2.769,2.609
2.464,2.728,3.052,2.266,2.488,2.791,2.675,2.716,2.408,2.589,2.796,2.867
2.217,2.382,2.365,2.206,2.313,2.304,2.381,2.379,2.252,2.247,2.332,2.403
2.189,2.336,2.555,2.141,2.53,2.519,2.626,2.506,2.315,2.401,2.485,2.607
2.187,2.472,2.579,2.304,2.47,2.377,2.456,2.459,2.362,2.406,2.242,2.403
2.271,2.439,2.288,2.378,2.232,2.421,2.201,2.354,2.357,2.307,2.313,2.523
2.193,2.549,2.536,2.06,2.65,2.497,2.474,2.436,2.276,2.517,2.593,2.516
2.295,2.777,3.195,2.176,2.627,2.961,2.752,2.811,2.472,2.815,2.946,2.963
2.284,2.407,2.312,2.221,2.236,2.326,2.38,2.371,2.762,2.182,2.238,2.318
2.29,2.576,2.69,2.418,2.251,2.635,2.578,2.867,2.695,2.45,2.362,2.571
2.457,2.972,3.03,2.221,2.658,2.978,2.925,3.045,2.79,2.782,2.781,2.884
2.327,2.317,2.232,2.397,2.085,2.371,2.311,2.237,2.205,2.267,2.285,2.269
2.684,2.592,2.553,2.362,2.652,2.532,2.432,2.499,2.505,2.492,2.419,2.516
2.204,2.457,2.63,2.003,2.519,2.383,2.491,2.439,2.33,2.543,2.165,2.355
2.599,2.786,3.242,2.093,2.962,2.885,2.59,2.675,2.524,2.771,2.972,2.886
2.494,2.57,2.218,2.295,2.074,2.259,2.221,2.333,2.446,2.331,2.065,2.344
2.368,2.061,2.255,1.909,1.844,2.019,1.908,1.918,2.21,2.123,1.945,2.226
2.634,2.259,2.582,2.539,2.364,2.221,2.265,2.296,2.524,2.474,2.235,2.476
2.5,2.387,2.31,2.349,2.233,2.302,2.309,2.262,2.238,2.233,2.554,2.553
2.173,2.822,2.909,2.22,2.575,2.623,2.479,2.457,2.546,2.698,2.824,2.591
2.249,2.46,2.602,2.148,2.49,2.419,2.544,2.495,2.435,2.486,2.468,2.642
2.281,2.576,2.364,2.324,2.063,2.271,2.121,2.303,2.282,2.256,2.36,2.436
2.455,2.969,3.358,2.135,2.584,2.843,2.627,2.957,2.607,2.736,2.805,2.868
2.378,2.345,2.227,2.27,2.29,2.107,2.188,2.275,2.047,2.293,2.261,2.354
2.408,2.408,2.567,2.626,2.547,2.444,2.432,2.567,2.288,2.477,2.339,2.443
2.57,2.848,3.271,2.307,3.117,3.006,2.945,2.807,2.538,2.669,2.786,2.668
2.362,2.51,2.392,2.347,2.028,2.454,2.131,2.472,2.064,2.232,2.218,2.251
2.345,2.226,2.336,2.276,2.083,2.23,2.145,2.234,2.193,2.083,2.357,2.21
2.486,2.564,2.996,2.512,2.378,2.478,2.606,2.745,2.35,2.464,2.589,2.65
2.672,2.895,3.219,2.416,2.845,3.045,2.791,2.904,2.598,2.827,3.169,2.846
2.466,2.467,2.313,2.389,2.029,2.364,2.217,2.205,2.031,2.236,2.484,2.522
2.306,2.209,2.238,2.19,2.134,2.325,2.178,2.056,2.201,2.216,2.243,2.517
2.511,2.387,2.639,2.344,2.388,2.594,2.6,2.565,2.253,2.473,2.614,2.71
2.422,2.516,2.785,2.41,2.507,2.262,2.283,2.271,2.329,2.369,2.296,2.364
2.181,2.176,2.351,2.147,1.87,2.098,1.983,1.927,2.031,1.813,1.937,2.115
2.35,2.44,2.607,2.451,2.277,2.48,2.216,2.231,2.177,2.273,2.349,2.31
2.519,2.494,2.509,2.405,2.171,2.462,2.229,2.303,2.308,2.271,2.219,2.434
2.379,2.47,2.559,2.512,2.116,2.586,2.181,2.378,2.202,2.225,2.154,2.42
2.578,2.312,2.564,2.231,2.015,2.239,2.236,2.341,2.116,2.239,2.472,2.522
2.585,2.286,2.46,2.237,2.233,2.245,2.253,2.342,2.32,2.174,2.201,2.506
2.457,2.556,2.675,2.421,2.125,2.379,2.264,2.2,2.385,2.103,2.217,2.475
2.814,2.462,2.414,2.485,2.084,2.496,2.307,2.29,2.399,2.245,2.151,2.53
2.551,2.605,2.605,2.316,2.142,2.411,2.193,2.35,2.094,2.3,2.612,2.332
2.379,2.545,2.543,2.431,2.159,2.46,2.389,2.273,2.21,2.461,2.278,2.274
2.338,2.201,2.317,2.104,2.011,2.474,2.038,2.112,2.264,2.18,2.4,2.755
2.415,2.588,2.817,2.473,2.511,2.704,2.509,2.572,2.397,2.547,2.498,2.46
2.345,3.008,3.358,2.245,2.981,2.85,2.792,2.851,2.474,2.762,2.56,2.998
2.266,2.345,2.595,2.377,2.082,2.23,2.211,1.991,2.14,2.191,2.197,2.307
2.159,2.443,2.851,2.222,2.428,2.539,2.578,2.668,2.356,2.56,2.538,2.539
2.161,2.549,2.777,1.956,2.769,2.659,2.484,2.738,2.515,2.587,2.71,2.897
