calcarine,pos,insula,central,cos,sts,sfs,ips,loc,ifs,ots_lat,its
2.533,2.419,2.339,2.26,1.966,2.226,2.073,2.195,2.068,2.44,2.465,2.398
2.288,2.277,2.24,2.317,1.989,2.356,2.149,2.219,2.314,2.328,2.093,2.153
2.639,2.443,2.518,2.31,2.188,2.416,2.458,2.399,2.403,2.356,2.318,2.343
2.363,2.325,2.437,2.21,2.082,2.381,2.321,2.283,2.378,2.255,2.245,2.358
2.556,2.618,2.914,2.396,2.254,2.657,2.335,2.654,2.546,2.428,2.344,2.521
2.414,2.302,2.843,2.276,1.989,2.022,2.105,2.114,2.122,2.195,2.025,1.841
2.524,2.56,2.815,2.612,2.113,2.501,2.273,2.293,2.19,2.417,2.321,2.45
2.569,2.692,3.435,2.574,2.328,2.627,2.49,2.365,2.331,2.393,2.463,2.653
2.613,2.608,2.475,2.381,2.114,2.437,2.331,2.351,2.324,2.13,2.457,2.551
2.614,2.456,2.566,2.531,2.265,2.528,2.348,2.454,2.285,2.282,2.336,2.425
2.325,2.593,2.716,2.242,2.569,2.571,2.546,2.595,2.028,2.388,2.632,2.568
2.067,2.33,2.294,2.143,2.263,2.124,2.06,1.97,2.063,2.305,2.183,2.173
2.841,2.798,2.829,2.609,2.428,2.416,2.427,2.414,2.385,2.489,2.339,2.425
2.462,2.892,2.854,2.684,2.625,2.677,2.643,2.464,2.486,2.478,2.465,2.421
2.373,2.385,2.407,2.392,2.079,2.32,2.194,2.155,2.139,2.202,2.555,2.323
2.364,2.521,2.774,2.445,2.252,2.422,2.363,2.392,2.02,2.413,2.388,2.48
2.161,2.395,2.451,2.274,2.275,2.23,2.25,2.178,2.284,2.149,2.241,2.318
2.217,2.266,2.174,2.281,2.248,2.348,2.292,2.26,2.239,2.32,2.25,2.263
2.474,2.812,2.696,2.631,2.42,2.645,2.543,2.518,2.59,2.461,2.464,2.443
2.539,2.385,2.247,2.637,2.252,2.55,2.223,2.376,2.137,2.542,2.093,2.405
2.202,2.469,2.541,2.327,2.233,2.416,2.266,2.222,2.285,2.309,2.363,2.508
2.516,2.437,2.584,2.187,2.384,2.436,2.259,2.473,2.423,2.446,2.382,2.384
2.267,2.341,2.291,2.272,1.932,2.254,2.177,2.222,2.198,2.318,2.184,2.32
2.248,2.409,2.399,2.226,2.353,2.316,2.353,2.299,2.385,2.334,2.452,2.488
2.483,2.448,2.362,2.287,2.07,2.307,2.045,2.186,2.348,2.373,2.19,2.583
2.329,2.443,2.468,2.327,2.249,2.379,2.249,2.129,2.087,2.243,2.107,2.44
2.634,2.695,2.772,2.213,2.743,2.691,2.556,2.377,2.458,2.525,2.431,2.605
