Row,calcarine,insula,cingulate,pos,central,precentral,cos,sts,postcentral,sfs,ips,loc,ifs,ots,its
bb02_mri0_mask,6.06886291503906,6.47059154510498,4.79316520690918,5.12305498123169,5.23301649093628,4.69082736968994,4.96400165557861,5.01784896850586,3.80344223976135,4.52640533447266,5.18042421340942,2.64125156402588,2.74711680412292,2.80448746681213,2.78472566604614
bb02_mri3_mask,6.30665731430054,6.44128084182739,5.33641338348389,5.26457023620605,5.51105070114136,5.30837726593018,6.24702501296997,5.54471826553345,4.78044986724854,5.18649673461914,5.75926637649536,3.18158507347107,3.50771260261536,3.45502758026123,3.12119650840759
bb02_mri6_mask,6.54440116882324,6.59124708175659,5.11678075790405,5.11286354064941,5.3275408744812,5.43649482727051,7.09816408157349,5.52902698516846,4.96697568893433,5.93313837051392,6.12637329101562,3.63754892349243,3.94652342796326,3.63739776611328,3.4472348690033
bb04_mri0_mask,4.63059711456299,6.68859815597534,5.2050404548645,5.13551616668701,3.87713217735291,4.93249940872192,4.98504829406738,5.39500284194946,5.47581815719604,3.88605737686157,4.26327657699585,3.42553114891052,4.34348773956299,3.07350158691406,3.32795810699463
bb04_mri6_mask,5.4244441986084,7.17304420471191,5.34199905395508,5.64194202423096,4.39515686035156,5.76193714141846,6.71224212646484,5.69664669036865,5.96053552627563,4.92454242706299,5.17492294311523,4.04980659484863,4.9586181640625,4.12262010574341,3.62637662887573
bb05_mri0_mask,5.09807586669922,6.67850494384766,5.30880212783813,5.60199594497681,4.64063882827759,3.93190407752991,5.2133092880249,4.01455736160278,5.34922361373901,5.26051998138428,5.81889629364014,3.15705180168152,4.24085426330566,3.06736254692078,2.1694450378418
bb05_mri3_mask,4.7104697227478,6.66377639770508,5.60286426544189,5.88595914840698,5.27559471130371,4.41400909423828,6.16930866241455,4.98900747299194,6.33464193344116,5.49753522872925,7.03341960906982,3.68113589286804,4.68721914291382,3.46551704406738,2.94903063774109
bb05_mri6_mask,5.16067743301392,7.01370859146118,5.4923849105835,6.10703229904175,5.27440404891968,5.08353805541992,6.28478670120239,5.61107730865479,6.5513596534729,5.59182024002075,7.11752223968506,4.01505851745605,4.81374263763428,3.85725736618042,3.14635515213013
bb07_mri0_mask,4.90792179107666,7.02560043334961,4.45571088790894,5.35848331451416,4.48427867889404,4.80816030502319,5.08888626098633,5.49875545501709,6.38659429550171,4.86403608322144,5.99241876602173,2.71777272224426,3.96530508995056,3.74214434623718,4.28411102294922
bb07_mri3_mask,4.69315481185913,6.88982677459717,4.7277569770813,5.34103298187256,5.07712316513062,5.22757768630981,5.31310606002808,5.96786785125732,6.3284649848938,5.48335361480713,6.46853446960449,3.13876175880432,4.47863483428955,4.35362577438354,3.9036123752594
bb07_mri6_mask,4.77796268463135,6.79089117050171,4.65197277069092,5.85720729827881,4.28661394119263,5.66060495376587,6.03414821624756,5.87173223495483,6.86512231826782,5.75704431533813,6.98023366928101,3.16712999343872,4.79769563674927,4.57462120056152,4.21820497512817
bb11_mri0_mask,7.06295394897461,7.27451229095459,4.78468179702759,5.96872901916504,4.46685743331909,3.8808331489563,4.79556226730347,3.8672251701355,3.75397348403931,3.38650679588318,5.185959815979,2.42917633056641,2.71293258666992,2.42862844467163,1.86654543876648
bb11_mri3_mask,7.5918116569519,7.14584493637085,5.36670780181885,5.55720186233521,5.00839328765869,4.4267406463623,4.37167406082153,4.8634295463562,4.91031074523926,3.96201634407043,6.62902355194092,2.82512283325195,2.98284101486206,2.8178539276123,2.22516250610352
bb11_mri6_mask,7.06234359741211,7.50422811508179,5.36328315734863,5.86051893234253,5.39030742645264,4.69287872314453,5.51864242553711,5.18935871124268,5.28211116790771,4.43809986114502,6.97187423706055,3.585120677948,3.41925406455994,3.64297652244568,2.38449788093567
bb12_mri3_mask,5.11763000488281,6.41426277160645,5.993971824646,6.05952739715576,4.80105876922607,4.36931800842285,5.63393306732178,5.35097455978394,4.94303846359253,5.0427770614624,5.70226049423218,2.53555107116699,4.22707843780518,3.01031041145325,2.20892977714539
bb12_mri6_mask,5.44555330276489,6.4230899810791,5.85801935195923,5.92057752609253,4.82509517669678,4.59824705123901,6.52230834960938,5.94559192657471,5.19074678421021,4.82093477249146,5.78008127212524,3.01217365264893,4.3227710723877,3.3073718547821,2.47364783287048
bb14_mri0_mask,3.82723093032837,6.34228229522705,5.45882701873779,6.43399333953857,4.69535350799561,5.19670629501343,5.9790244102478,5.52301025390625,3.80868768692017,5.13714456558228,4.77631950378418,2.59910202026367,4.46102428436279,4.00762271881104,3.55761885643005
bb14_mri3_mask,4.00155401229858,6.41867351531982,5.55006074905396,6.41145896911621,4.93789863586426,5.58555746078491,5.84827661514282,5.70543622970581,4.32518196105957,5.42048740386963,5.12983798980713,3.05210065841675,4.61352062225342,4.27142429351807,3.71748852729797
bb14_mri6_mask,4.0234546661377,6.58982944488525,5.47112083435059,6.01152563095093,4.73282670974731,5.81636810302734,6.74855041503906,5.65536022186279,4.81506729125977,5.73402643203735,5.44779205322266,2.98110818862915,5.04377365112305,4.46663427352905,4.05508756637573
bb15_mri3_mask,5.88465023040771,7.0442533493042,4.46315813064575,6.13002157211304,5.775230884552,5.58674669265747,5.512366771698,6.14945602416992,6.73897743225098,3.43340373039246,6.06938409805298,2.57898831367493,4.45285606384277,3.43566823005676,3.23598074913025
bb17_mri0_mask,5.43112707138062,7.21270847320557,5.06631660461426,5.64131546020508,4.84636163711548,4.49251174926758,5.44207382202148,4.6740517616272,2.96483421325684,5.05119514465332,6.04734086990356,2.28725266456604,4.03071308135986,2.48407816886902,2.11547255516052
bb19_mri6_mask,6.63167762756348,6.84869527816772,4.34210062026978,5.1359429359436,4.46536254882812,4.69143533706665,6.15109777450562,5.95133829116821,6.30124807357788,5.08051633834839,5.51331567764282,3.87193989753723,4.15378904342651,3.35354018211365,4.54730939865112
