bb02_mri0_mask,bb02_mri3_mask,bb02_mri6_mask,bb04_mri0_mask,bb04_mri6_mask,bb05_mri0_mask,bb05_mri3_mask,bb05_mri6_mask,bb07_mri0_mask,bb07_mri3_mask,bb07_mri6_mask,bb11_mri0_mask,bb11_mri3_mask,bb11_mri6_mask,bb12_mri3_mask,bb12_mri6_mask,bb14_mri0_mask,bb14_mri3_mask,bb14_mri6_mask,bb15_mri3_mask,bb17_mri0_mask,bb19_mri6_mask,bb22_mri0_mask,bb24_mri3_mask,bb27_mri0_mask,bb28_mri3_mask,bb28_mri6_mask,bb28_mri12_mask,bb32_mri0_mask,bb32_mri6_mask,bb32_mri12_mask,bb33_mri3_mask,bb33_mri6_mask,bb35_mri6_mask,bb37_mri0_mask,bb37_mri6_mask,bb37_mri12_mask,bb40_mri3_mask,bb40_mri6_mask,bb40_mri12_mask,bb41_mri0_mask,bb42_mri3_mask,bb42_mri6_mask,bb42_mri12_mask,bb44_mri0_mask,bb46_mri0_mask,bb46_mri3_mask,bb51_mri0_mask,bb51_mri3_mask,bb52_mri6_mask,bb53_mri0_mask,bb55_mri12_mask,bb56_mri0_mask,bb56_mri6_mask,bb56_mri12_mask,bb59_mri0_mask,bb62_mri0_mask,bb62_mri6_mask,bb62_mri12_mask,bb63_mri0_mask,bb64_mri0_mask,bb64_mri6_mask,bb66_mri6_mask,bb67_mri0_mask,bb67_mri3_mask,bb69_mri0_mask,bb69_mri3_mask,bb75_mri0_mask,bb75_mri3_mask,bb77_mri0_mask,bb77_mri3_mask,bb78_mri0_mask,bb78_mri3_mask,bb79_mri0_mask,bb82_mri6_mask,bb61_mri12_mask,bb50_mri3_mask,bb47_mri6_mask,bb47_mri12_mask
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25507920224902,1.28218610521773,1.33003500817527,1.40988879136636,1.50963317172628,0.930262384280353,1.34628373804227,1.32305858504604,1.35171352977484,1.4302092538753,1.39440908566327,1.34574899539142,1.35345285711154,1.41048518704696,1.46825729961127,1.43658080571134,1.31341298868958,1.41047931724871,1.41040971245564,1.3778100886815,1.45806140631018,1.44516755493594,1.45561509736827,1.36165980218162,1.32146809806286,1.46621959310182,1.51281630824989,1.53809876509116,1.19062464002153,1.32710824885838,1.42874512202303,1.41956651714486,1.35504267249309,1.41227992151825,1.26896319590824,1.42982644094548,1.45485629498119,1.35624884215879,1.34768573331161,1.3816962040646,1.453403311716,1.41619390836904,1.43241662038884,1.47972903453128,1.38622396764621,1.38102406515202,1.46868224882744,1.33661631463279,1.43594704211598,1.4196910320873,1.3188893224152,1.52959760477845,1.43894872531085,1.33537969454913,1.51846105280057,1.34341775867301,1.42662558757084,1.46692262568944,1.51531314849854,1.3047450159637,1.30668559544523,1.31698016045799,1.37140546718114,1.32647103323063,1.40373101032956,1.40438101325237,1.42611439127318,1.29218438645484,1.3145777071026,1.37623081744557,1.4637021749792,1.40934166438143,1.44340916754494,1.27625224959682,1.57333564758301,1.43568628606662,1.47107054482044,1.47342579801318,1.53909653677067
1.42000306885818,1.49050835357315,1.50401468386595,1.49551094537494,1.55749374696578,1.16821058865251,1.37122781797387,1.32855819285601,1.44776852925618,1.47607273891054,1.57508024676093,1.45507318124004,1.44365540866194,1.50876399292343,1.47526536042663,1.48692863288967,1.39802181857756,1.45461091227915,1.45875854053717,1.45057935824339,1.47756922930136,1.50659201611048,1.48459044270132,1.47638941359246,1.34702388719581,1.54718819979964,1.58218645775455,1.54319741260046,1.33026823504218,1.38313044624767,1.50310756420267,1.4641414401175,1.42075799525469,1.41173421925512,1.41857927695088,1.52017068314826,1.52872708200038,1.44256135787087,1.44962169384134,1.51537349306304,1.47289985349809,1.47772278182808,1.49991136309744,1.44056071358166,1.46212499991231,1.45226955413818,1.48673840226798,1.32053322627627,1.53541530959908,1.49879177137353,1.37873858967047,1.61337321928178,1.3210598737344,1.43221051665558,1.60117141679786,1.41991739163454,1.50157156757925,1.48769095848347,1.58423017085284,1.35720239836594,1.28427554821146,1.32522709068211,1.44454552661413,1.34124992633688,1.46472129602542,1.42875309648185,1.52711581087661,1.39248794248734,1.42197214323899,1.44983927408854,1.54036879265445,1.43398482224037,1.49077044958356,1.38445047400464,1.64387337914829,1.41682060285546,1.52664835699673,1.53408725782372,1.56451672521131
1.7431389944894,1.70580554495052,1.73072007237648,1.83734957052737,1.93352623375095,1.56595155657554,1.71570971547341,1.65755477730109,1.72951825784177,1.81158346059371,1.86243989516278,1.7998278384306,1.80282039058452,1.76729677161392,1.71768483337091,1.69738816241829,1.71546787145186,1.6848472283811,1.70355351117192,1.78305211359141,1.8345650945391,1.84950722480307,1.81777870411776,1.72651079722813,1.59702127806994,1.79521827308499,1.81840128801307,1.866418235156,1.62205024641387,1.55068649564471,1.65622342362696,1.69181970187596,1.60941759907469,1.72083439632338,1.78585796940083,1.87555513576585,1.83375579483655,1.80225596135976,1.82938371385847,1.88593722362908,1.77305175820175,1.74230746347077,1.74007241579951,1.76287421888235,1.69605285294202,1.70353645694499,1.69488040281802,1.57081243943195,1.75311476843698,1.76958774060619,1.64971675191607,1.86738807327893,1.66572568854507,1.74994682779118,1.85264232207318,1.69086431970402,1.83615237839368,1.61705594646687,1.88161806184418,1.5908602305821,1.54636101820031,1.51570594067476,1.69373992024636,1.61891003530853,1.69385045888473,1.74552751074032,1.78512012715242,1.75831369477875,1.74113584051327,1.76564396644125,1.82892452940649,1.71685061162832,1.72199335876776,1.57943788353278,1.92159207013189,1.69682731920359,1.72257647222402,1.76570643210898,1.84925251590962
2.00752994478965,2.01724508343911,2.04727274544385,2.14970896681961,2.23483449099015,1.90788192165141,1.78436344497058,2.04143317864866,2.04276292178096,2.12592974001048,2.13707019844834,2.05715191121004,2.05831718444824,2.01648202234385,2.00020447069285,2.0234938884268,1.93828090842889,1.94860714795638,1.96570381339715,2.11391960844702,2.16181508862242,2.08837956311751,2.09185884436783,1.96529455087623,1.80237129756383,2.11644617392092,2.17554424733532,2.21567470686776,1.86816293366101,1.8312396273321,1.95142730401487,1.94318911007472,1.89622178369639,2.11218878687645,1.97294795756437,2.14531989973419,2.15223861713799,2.11667561044498,2.15875205215143,2.21968924269384,2.0596491560644,2.07673593443267,2.04527911847951,2.07902744351601,1.97939847440136,1.94231786533278,1.97777673176357,1.76972709383283,2.00348499843052,1.99738616846046,1.90703971531926,2.27830234352423,1.91055443822121,2.11471763435675,2.13102454555278,1.91015159840486,2.17251804896763,2.0768646755997,2.23165088770341,1.85576475883017,1.82306714933746,1.82550146141831,2.01444770365345,1.99217300512353,1.93127218071295,1.99530592743231,2.04453291698378,2.07977100294463,2.13358701491842,2.00899459391224,2.09039309560036,1.93426840159358,1.98894736718158,1.81335982497858,2.21863208498274,1.98286116853052,2.03930396936378,2.11445396773669,2.16419683183943
2.47359533129998,2.54528193653754,2.56374316395454,2.65187585578775,2.74152553756282,2.43385776033941,2.14577220520883,2.63189010350209,2.50501979521985,2.57517764253436,2.64111206666479,2.52733588668535,2.54930351365287,2.49185937755513,2.49984513588671,2.57165787804802,2.37696052497288,2.42081990331974,2.46917937836557,2.58697409449883,2.66761689815881,2.5669539964424,2.55548611676918,2.42269187603357,2.16984698457538,2.70689430326786,2.77186297470669,2.81784102601825,2.35149106439554,2.36696394434515,2.50152418748388,2.43569765450819,2.43946084436381,2.67385724805436,2.34900601854864,2.64377555307352,2.67024570141198,2.62219167205523,2.67325030182892,2.81979868546972,2.51880405084142,2.56462361677638,2.56080362931737,2.58714872486186,2.49275542205235,2.40661112767346,2.44585271601407,2.20443226706307,2.47505803378123,2.4827123363063,2.30938664472328,2.87066306258148,2.34784834339934,2.65178559861093,2.60454859823551,2.3051154478541,2.66534567329119,2.65791546173815,2.80657700322709,2.2132250497926,2.26396817531226,2.33449656558487,2.55255488179765,2.48221775270858,2.43786316097907,2.46311442357189,2.53271321080766,2.52234030219744,2.64136960371485,2.48066859425239,2.54559923567862,2.38366132412317,2.49025979581869,2.31550710606125,2.72203918223111,2.51623928771829,2.53377033179661,2.67969413073558,2.72661733627319
1.97000563144684,2.03293241836407,2.07481622695923,2.1341920737867,2.1787131494946,1.99838580467083,1.64056435779289,2.17486540034965,2.00822644322007,2.0518883201811,2.08577468660143,2.03223156045984,2.03210005053767,2.01865008583775,2.02920067310333,2.0666292640898,1.90828696445183,1.95626270329511,2.01175143542113,2.10008875970487,2.13435272817258,2.06212210655212,2.0238835590857,1.94007367557949,1.71104674427598,2.1781150676586,2.22260391712189,2.27694669476262,1.91579619601921,1.95030536475005,2.05637208179191,1.97271012376856,1.97180433626528,2.1425718554744,1.85184356018349,2.11809638252965,2.11720201262721,2.08401631425928,2.13524439599779,2.28832935403894,1.99513343969981,2.02922261202777,2.03654705153571,2.07592582261121,1.98455697960324,1.92719678084056,1.98001178988704,1.72622051503923,1.99632650393027,2.00529361212695,1.83719001434467,2.31822689815804,1.86432144818483,2.15815806830371,2.10076839835555,1.80471877257029,2.16429331567552,2.16030332777235,2.28071162435744,1.75955406824748,1.81580989007597,1.91179037977148,2.09219434967747,1.97446282263155,1.99251661918781,1.97738603309349,2.05760283381851,2.00173291453609,2.12621094120873,1.97224186526404,2.03461291171886,1.8835053090696,1.97102496800599,1.88348065923761,2.19191156051777,2.04544160542665,2.00439582047639,2.20921008675187,2.19624111387465
1.34273036904291,1.38938691637932,1.42960775445361,1.45668583178739,1.48400013162455,1.42343849217126,1.08158755083697,1.5507515461073,1.38933663411972,1.39535607329202,1.44200235769289,1.4459232321573,1.40404616364645,1.40242412112175,1.41343090949802,1.44606601645093,1.34327353468729,1.39062038474127,1.42319052809969,1.48117505082297,1.50245136295984,1.40617170683835,1.37722370602669,1.35967168895476,1.15312981824262,1.50330370281814,1.53136297978392,1.58809012666755,1.3001223879123,1.38608680515114,1.40021493019314,1.36390528547654,1.39364323047323,1.52740011302703,1.29163968234981,1.4285699861859,1.44792706813287,1.4242557560632,1.50353716929025,1.62233306289813,1.3509710950589,1.39081490367924,1.36985050866363,1.4538129447797,1.38486863932478,1.33222409344594,1.36017514587542,1.2130920602641,1.39030169128278,1.4092858165776,1.28639173070225,1.66006779451983,1.30927361479593,1.51403299384161,1.5228994002036,1.24505288010344,1.52367024902904,1.53549258205869,1.63362786529261,1.23719116525912,1.26182621772136,1.36662875184225,1.46438237723954,1.36803201797905,1.39887710886264,1.36929978361917,1.42088192756023,1.40961376680147,1.51519100819159,1.32963955293008,1.35950345293098,1.31627833515132,1.39720195367796,1.31994152944022,1.50760732440774,1.47908413738286,1.41201513185414,1.50954029975681,1.51433139328563
1.98940326209761,2.12294188931457,2.13809289076389,2.21743871411707,2.23138968149821,2.04110504623152,1.80603125971607,2.27585500325912,2.05375824219141,2.07215750523103,2.12608233068743,2.09695092633239,2.08033256856804,2.09214537367862,2.08563081830995,2.10884190420819,1.97426474807609,2.00754906988551,2.04335117747641,2.18055237867893,2.14771622877855,2.09861356172806,2.02225235996083,1.96213507856059,1.70171651677189,2.21306061948466,2.25773296600733,2.35490348196437,1.88991550502614,1.99323739760961,2.13865860099466,2.0415962577885,2.06110889076168,2.16951766380897,1.91974648858747,2.1771841660524,2.13826322963095,2.05502953081049,2.15067377661028,2.36201035263192,1.99216812084883,2.06764503625723,2.07604167196486,2.10796745210631,2.035506623423,2.01122492806524,2.04291032929706,1.77745099556752,2.04014119938907,2.01687227151333,1.88316298346234,2.37980658376319,1.88776636123657,2.23514437064146,2.1379115194337,1.84301106542604,2.18797892790574,2.2439764911293,2.36984229291606,1.79790853027605,1.85851868401226,2.04572354422675,2.17988514288878,1.97160773807102,2.03977796155163,2.03024203960712,2.13134179359827,2.04586520561805,2.18647528509808,1.98378175751776,2.02836354981121,1.94329888596494,2.01605020832812,1.9451098951519,2.23230864451482,2.26286219939207,2.03663347113846,2.3296918013157,2.25447032390497
