bb02_mri0_mask,bb02_mri3_mask,bb02_mri6_mask,bb04_mri0_mask,bb04_mri6_mask,bb05_mri0_mask,bb05_mri3_mask,bb05_mri6_mask,bb07_mri0_mask,bb07_mri3_mask,bb07_mri6_mask,bb11_mri0_mask,bb11_mri3_mask,bb11_mri6_mask,bb12_mri3_mask,bb12_mri6_mask,bb14_mri0_mask,bb14_mri3_mask,bb14_mri6_mask,bb15_mri3_mask,bb17_mri0_mask,bb19_mri6_mask,bb22_mri0_mask,bb24_mri3_mask,bb27_mri0_mask,bb28_mri3_mask,bb28_mri6_mask,bb28_mri12_mask,bb32_mri0_mask,bb32_mri6_mask,bb32_mri12_mask,bb33_mri3_mask,bb33_mri6_mask,bb35_mri6_mask,bb37_mri0_mask,bb37_mri6_mask,bb37_mri12_mask,bb40_mri3_mask,bb40_mri6_mask,bb40_mri12_mask,bb41_mri0_mask,bb42_mri3_mask,bb42_mri6_mask,bb42_mri12_mask,bb44_mri0_mask,bb46_mri0_mask,bb46_mri3_mask,bb51_mri0_mask,bb51_mri3_mask,bb52_mri6_mask,bb53_mri0_mask,bb55_mri12_mask,bb56_mri0_mask,bb56_mri6_mask,bb56_mri12_mask,bb59_mri0_mask,bb62_mri0_mask,bb62_mri6_mask,bb62_mri12_mask,bb63_mri0_mask,bb64_mri0_mask,bb64_mri6_mask,bb66_mri6_mask,bb67_mri0_mask,bb67_mri3_mask,bb69_mri0_mask,bb69_mri3_mask,bb75_mri0_mask,bb75_mri3_mask,bb77_mri0_mask,bb77_mri3_mask,bb78_mri0_mask,bb78_mri3_mask,bb79_mri0_mask,bb82_mri6_mask,bb61_mri12_mask,bb50_mri3_mask,bb47_mri6_mask,bb47_mri12_mask
-6.1129002571106,-7.37143754959106,-6.28537225723267,-5.80703258514404,-7.55731534957886,0.2337613205115,-2.64918843905131,-1.80719415346781,-6.3159286181132,-6.90873003005981,-6.13084967931112,-6.40326770146688,-5.59957218170166,-6.87173414230347,-6.80462805430094,-6.56557512283325,-6.25736999511719,-6.9552001953125,-7.3812157313029,0.480459069212278,-5.28738880157471,-8.37620306015015,-8.81956609090169,-7.18257474899292,-7.01752535502116,-4.69907061258952,-6.09168322881063,-5.93854490915934,-6.8839643796285,-6.40158796310425,-6.62340799967448,-6.87653827667236,-7.34039894739787,-3.61617684364319,-5.31193367640177,-5.81347417831421,-6.52415577570597,-4.5186329682668,-5.8350575764974,-6.28810516993205,-8.54476896921794,-8.04711643854777,-6.63797156016032,-7.48424863815308,-6.12225325902303,-7.92739820480347,-6.2371826171875,-6.49402936299642,-6.73063850402832,-6.61870670318604,-5.61829932530721,-6.75001033147176,-6.61872450510661,-5.82277822494507,-7.79692459106445,-7.10037438074748,-6.07217597961426,-6.73318862915039,-7.464959303538,-7.1841926574707,-6.94618447621663,-8.84988180796305,-7.37273852030436,-6.06096903483073,-7.53284549713135,-5.02395836512248,-5.10494883855184,-6.45570309956868,-7.15731366475423,-7.76642004648844,-9.43952751159668,-5.72164948781331,-7.02437988917033,-4.60634517669678,-7.41131671269735,-6.80896345774333,-6.5555248260498,-4.42335748672485,-3.66028753916423
-5.65837740898132,-5.71560792128245,-4.91578211386998,-4.73165388902028,-6.39674131075541,1.19436630855004,-1.65538338323434,-1.27012874186039,-5.68693812688192,-6.22000062465668,-5.28661932547887,-5.83697152137756,-4.70105773210526,-5.75346279144287,-5.60029733181,-5.51863582928975,-5.11926408608754,-5.38669657707214,-5.90833799044291,0.424706862928967,-4.22002508242925,-7.20194327831268,-8.4454615910848,-5.55965584516525,-5.5390735467275,-3.99975238243739,-5.07829703887304,-4.89846859375636,-6.48449714978536,-5.8695570230484,-5.62991940975189,-6.26584613323212,-6.76908985773722,-4.37380856275558,-4.27034852902095,-4.70202400286992,-5.27027515570323,-3.23758771022161,-4.49679730335871,-4.85005611181259,-7.77863601843516,-7.033815741539,-5.14733866850535,-6.60292379061381,-5.80649189154307,-7.30765203634898,-4.90382923682531,-5.78773760795593,-5.52435082197189,-5.54325453440348,-4.48703954617182,-5.52785430351893,-5.35774260759354,-4.91905655463537,-6.29816567897797,-5.83022511005402,-4.3340417544047,-5.20201033353806,-5.93305281798045,-6.15253945191701,-5.95644597212474,-7.66755123933156,-5.78882726033529,-5.35296791791916,-6.75938920180003,-3.76053996880849,-4.14554943641027,-5.57151281833649,-5.48322745164235,-7.1540329058965,-8.45878767967224,-4.92548143863678,-5.54171943664551,-3.52805038293203,-6.32247126102448,-6.69210418065389,-5.78447711467743,-3.11095663905144,-3.32445633411407
-5.4814036655426,-4.62136467933655,-3.82464849472046,-4.18880446434021,-5.58881325721741,1.80184630393982,-0.878509197384119,-0.531724608242512,-5.26260944366455,-5.66297370910645,-4.61760675430298,-5.59401094436646,-4.42982608795166,-5.31831248283386,-4.80934341430664,-4.72464488983154,-4.48691718101501,-4.48040628433228,-4.78996893882751,0.0193217945098877,-3.57604068994522,-6.5247604560852,-8.02396902084351,-4.41733063220978,-5.02207062721252,-3.49668241977692,-4.25848132610321,-3.92838673114777,-6.18040306091309,-5.71820472717285,-5.17576154708862,-5.79274118423462,-6.33212377548218,-4.74583666801453,-3.54077455043793,-3.84575137376785,-4.31291296958923,-2.94197705388069,-3.75164704322815,-4.19807813167572,-7.3413229560852,-6.15845536231995,-4.63576783180237,-5.69027570724487,-5.2937734413147,-7.06098922729492,-4.02712136268616,-5.1531822681427,-4.59082841396332,-4.85322217941284,-4.06425085067749,-4.52558085918426,-4.6741638469696,-4.43110908508301,-5.68291223526001,-5.03713012695312,-3.46003257274628,-4.16348089694977,-4.70193831443787,-5.50693134307861,-5.50391530990601,-6.80892796516418,-4.90518707275391,-4.9112073802948,-6.11869443893433,-2.95294810891151,-3.51236479282379,-4.9180316734314,-4.6063157749176,-6.526341381073,-7.65368988037109,-4.46430374145508,-4.62420914649963,-2.69628600478172,-5.42656156539917,-6.85402809143066,-5.2131879234314,-2.52190407276154,-2.52137586772442
-4.40053660273552,-3.03022980093956,-1.85092567387037,-3.28636581301689,-3.83001780062914,2.80908140540123,0.610657519008964,1.27864406388253,-4.25537925958633,-4.45067527294159,-3.4021193832159,-4.7911787211895,-3.39412069916725,-4.30690253376961,-3.01204252131283,-2.70559466220438,-3.05208889618516,-2.83933898210526,-2.88970031216741,-0.0820659292861819,-1.95069593647495,-5.1946518778801,-6.69161211252213,-2.61388228535652,-3.9857145190239,-2.70608437955379,-2.39711718857288,-2.09560988247395,-5.3108348429203,-5.06915704607964,-4.78284275531769,-4.88192648291588,-5.28332652449608,-5.41786453127861,-2.04436908140779,-2.01667235363275,-2.26026679286733,-1.65327087901533,-2.08134265840054,-2.32857553064823,-6.12738707661629,-4.52867077887058,-3.24703387338668,-3.73926259558648,-4.53110374212265,-6.35667703151703,-2.0515698581934,-3.64505725204945,-2.97887416891754,-3.54095224142075,-3.19356271028519,-2.77900685947388,-3.34015836417675,-3.54098857939243,-4.37531628087163,-3.38703456223011,-1.77200794145465,-2.14328355658799,-2.67613640576601,-4.449038875103,-4.51620801091194,-4.9726155102253,-3.58500553965569,-3.71447769701481,-4.93358635902405,-1.4101695805788,-2.08938295319676,-3.37998045682907,-2.89204459525645,-5.15697691440582,-5.91923775672913,-3.13625555634499,-3.24014988839626,-1.24719330258667,-3.94085999727249,-6.4042756319046,-3.59587061274797,-1.17140907943249,-0.979551271116361
-3.03679912138198,-1.51597385244012,-0.260663404096184,-2.32234777736344,-2.39132215681353,3.11176580616406,1.64352967849533,2.75852351329689,-3.30180049368313,-3.19631544191257,-2.39720527621518,-3.64442780188152,-2.1517252687897,-2.86525412875095,-1.5123575904207,-0.946537099246468,-1.55890512759132,-1.45565151892203,-1.23193661626179,-0.199126078946782,-0.269651352893561,-3.81339113919863,-4.76634976267815,-1.3425841411559,-2.97930241163288,-1.79024799979691,-0.856746621962104,-0.664049400149712,-4.00456616601774,-3.72701304139835,-3.86764945515565,-3.55955998865621,-3.60811046936682,-5.59350794128009,-0.563640959294779,-0.151090523095003,-0.717487728090158,-0.364571716769465,-0.709191193538053,-0.670449358261456,-4.95817512699536,-2.99427996469396,-1.7119049566931,-2.20104875814702,-3.48727064260415,-5.7970124397959,-0.655118221117716,-2.25359074771404,-1.44159622804727,-2.24560832019363,-2.8118168756898,-1.39348293987236,-2.18083100180541,-2.72466608456203,-2.64057861853923,-1.5707510526159,-0.300824957766703,-0.419468025942998,-0.625692412789379,-3.18614437111786,-3.44209187171821,-3.27500512889986,-2.48141444554286,-2.32146166453354,-3.64361222939832,-0.0683343415813787,-0.848676412233284,-2.0196740451668,-1.47544453426131,-3.94872220286301,-4.2659103253058,-1.91300317857947,-1.94337416440248,-0.202188167787556,-2.57490261950131,-4.4823354382201,-2.27286539353164,-0.080848331962313,0.205288524040952
-1.09661084413528,0.398376883217462,1.61448375733805,-0.761177979304757,-0.36115744047549,2.85456969473563,1.92355074639052,4.14059096322933,-2.23748108576721,-2.01060659299329,-1.22641786492207,-1.81705037766779,-0.232830475543586,-0.725434876663584,-0.990262154935741,-0.263040868749081,0.538011489409796,0.664580740191987,1.01431068822309,-0.290046195657006,1.44975317652586,-1.91102765815359,-2.70689153086237,-0.128734971455653,-1.85285391081387,-0.0452240718082643,1.28185882356385,1.44942920182792,-1.99149195681995,-1.21333966708519,-1.71945425259395,-1.53640140886222,-1.41785330692647,-5.19661630039484,1.00243891565733,2.0668455197043,1.30104198925932,1.89880861824667,1.26165135519605,1.72936291987417,-3.53590647246636,-1.34637102148902,-0.0719037472309781,-0.469365284686357,-2.20987415353072,-5.41298493533067,-0.328624790350736,-0.684406000123897,0.858947642449237,-0.456973655332982,-2.15204444817517,0.555643326799634,-0.570677361437972,-1.94544703691778,-0.405888417211007,0.703041977078562,1.21045186150242,1.6273520253074,1.65010634695613,-1.4476451604614,-1.78247186979672,-1.42391371746666,-0.987250254607536,-0.396149623561913,-1.90219485506573,1.67485117450566,0.995956337787736,-0.497889132304511,0.117547929286957,-2.57674843156841,-2.5418620075978,-0.291314423923761,-0.230605980368252,0.815135205059614,-1.06052362089845,-1.67148127766247,-1.29864019263064,1.40835045173135,1.83716724432585
0.78120420647915,2.14457131991553,2.9971085410825,1.01666192814361,1.81116711119796,1.54765893553579,1.12603797538336,3.86406622931015,-1.16095603370043,-1.15794035270377,-0.00709976472480353,0.67081871438165,2.06945129535919,2.04148949942617,-1.97513893593189,-1.23220555007804,2.6468112177627,2.90923651359802,3.26341193082721,-0.90265359071105,2.74837684700655,0.38500858479461,-0.648230592525283,1.45123329030913,-0.684869176800211,2.60795871384962,3.91786076089497,4.11055399382184,0.527827207605506,1.60574924911177,1.69706772458415,0.812513798697267,1.06172778578692,-3.39348501629781,2.51512885589672,4.05652433668458,3.64044814331587,3.9158555858357,3.39221677807874,4.20933379419148,-1.60614356571852,-0.229457723539929,0.904325818101507,0.331497164183231,-0.926820345374561,-4.21900280547696,-1.23595066229964,-0.0565179718095203,2.55573513332841,1.68295218708903,-0.479467987288656,2.55723646993554,1.15557820453893,-1.6921443176824,2.29565365909231,3.46956321545119,2.42495700231818,3.4443244036547,3.91157237875687,0.659413872373312,-0.000552856623260088,0.521657937385012,0.85344689684855,1.21685729556999,0.114486282669701,3.40508153306883,2.96431851872178,1.27638587035065,1.72156631859929,-1.01501108550055,-0.761980666497419,1.15032203883193,1.6541231590713,1.66639311711282,1.05017725451914,1.34614869443223,-0.15873585253694,2.97307812855687,3.71876452707274
1.91993252492764,3.17907483740286,3.85100531307134,2.04237293011763,3.28501492289996,0.381599784913388,0.439886288209395,2.65215711088174,-0.312891296788373,-0.562340032055297,1.1072643100792,2.27101961218498,3.72516106365418,3.83192487467419,-2.45089925317602,-1.90257508587092,3.91514398834922,4.3933835320852,4.98503875867887,-2.10315785895694,3.54595104130832,2.08738825537942,0.406111157562753,2.7519493915818,-0.256931635260116,4.06963474565948,5.5121044956825,5.58365835181691,2.37891483899545,3.69798224148425,4.08678889156065,2.28299939463084,2.67519411089068,-1.50912578247318,3.8294698772952,5.79205373471433,5.74781671301885,4.94934684580023,4.80555725097656,5.72550924799659,-0.287342559884895,0.558716044168581,1.7674557630142,1.11512019476769,-0.57502674497664,-3.83011544428088,-2.12596047195521,-0.56998093595559,3.07832453704693,3.3125689862804,0.931046992550943,3.79468574925241,2.21684621443803,-2.27100036090071,4.4203878719021,4.93942658129064,2.87487355319106,4.1442897003144,5.17891354486346,2.04170808229934,1.12247327598743,1.63016474937004,2.29398271399127,1.99398850040002,1.12901634655216,4.653585286303,4.79719990898262,2.58654675107788,2.96836013829505,0.167009849863296,0.460976355285807,1.91626140953634,2.69394811479883,2.51247633987276,2.48300367763097,3.45056652034294,0.705142449587584,3.47570630941879,4.50869421847165
2.51231951796147,3.55150841697153,4.18374304109848,2.23435491826161,3.60217470146087,-0.989093308707318,-0.588271798139595,0.61782218888402,0.533283412456512,0.268285203859749,2.21819204877479,2.9486877787185,4.50304097215454,4.72011916626649,-2.32074189491301,-1.84836217045156,4.19978484080498,4.89705444244017,5.7162300046668,-3.81040246174278,3.96329158113663,3.11916935282299,1.05033474227032,3.38188787109881,0.023318582674466,3.8505591750145,5.34821856883635,5.18336783977876,3.47343899040337,5.13347134532699,5.60209605887712,2.95707804781486,3.34217621143683,-0.114634169198303,4.68451516168663,6.82412804178445,7.02583266597196,5.04905177886228,5.10783323753311,6.14141459206501,0.0314275735473058,1.50190215010241,3.03918030822133,2.3437199445374,-0.843569952702845,-4.03142343371747,-2.45378174049308,-2.02930710994336,1.97285344209298,4.36956398458366,1.61418862299747,4.24774778555765,2.54400466526129,-3.4227700578161,5.46691793580371,4.74940203112292,2.75934184605188,3.95118863907564,5.08117802638605,2.619343124633,1.78791744656951,2.46703362967595,3.28949648824083,2.12827046906733,1.4587735431381,5.0599359489349,6.04162420709449,3.44397375131228,3.95944961438696,1.09573511150946,1.35952401383365,2.05094792725271,2.88359700699887,3.34781664035406,3.25562680162579,4.87570622455643,1.39164614892868,2.72838018062603,3.71862322074103
2.59235522026817,3.43821273921501,3.96592113721584,1.79798834912834,2.99774135787794,-2.18519551120698,-1.94014072716735,-1.24803197095614,1.179610071349,0.859990909163441,2.88601954742557,2.90991840263208,4.24415705175627,4.30429871726249,-1.85809760432069,-1.52824195264284,3.47406977991618,4.17777270362491,5.14217119983264,-5.15822670857112,3.80384384982643,3.14182308387189,1.37827917862506,3.41974165465771,0.619539508152576,2.42980305974682,3.91011725720905,3.44918344154333,3.80718187420141,5.67687083000228,5.8498246578411,2.98182798190308,3.34590723365545,0.660456887668087,4.6820957244906,6.51874766321409,6.8626921191102,4.52830983201663,4.47984081985695,5.58308857643888,-0.217255152229752,2.49132440735896,3.92170570739767,3.39700895303949,-1.6336425083379,-4.14201538619541,-2.37635541494404,-3.03610961990697,-0.3379002946562,4.43199411708684,1.6007993895494,3.7909586018927,2.68867238327151,-4.35848860513596,5.19747698697306,3.07746854105166,2.46337129607266,3.46939665229902,4.09901283113729,2.22391961027114,1.98476744957623,2.68836829649462,3.80985811193074,1.88077775209344,1.54564811484445,4.3362006232852,5.60438095104127,3.72231505456425,4.1236402541399,1.75942634179124,1.90639452767071,1.6751218828417,2.0911325464646,3.89113092604315,3.39227932975406,5.1916487096321,1.62454893406747,1.34134705229441,2.28555885152448
3.02223326514165,3.8375135973478,4.55162982585338,2.11298745297469,3.25877491442057,-3.14644364248484,-3.11361016917269,-3.15176303407703,2.37479420245076,2.12584539779868,3.91896301455414,2.52060029655695,3.69070396362207,3.71216174759544,-2.14221888646866,-1.59887365309092,3.78333322369517,4.49502311532314,5.36094517432726,-5.58079473788922,4.26897697800245,3.42977807594415,2.00709276741896,3.61848205442612,1.82212850743403,1.09544691500755,2.45652049875412,1.61512017013648,3.97136717652663,5.76091376787577,6.27491447004752,3.31739267735527,3.61647541142809,1.3431218793759,4.54353329379303,6.0510702370069,6.7346947430036,4.42709897496761,4.5253322613545,5.45191649213815,-0.07763738796497,3.81340582363116,5.27089495183184,4.7044733568835,-1.55041653328599,-3.84525371280809,-2.18348145733277,-3.81673346421657,-2.06577793714137,4.9576950237537,1.74551148884572,4.42094775957939,3.00654812692068,-4.13571033942012,5.08607501536608,2.04267572974547,2.6275452192431,4.13128627989537,4.40665756853727,2.77983933935563,3.03531386111027,3.70482303087528,4.75921324430368,2.22020619496321,2.19479362513774,3.21223903466494,4.73577639384147,3.83008528749148,4.33506714686369,2.54782653399385,2.84318585197131,2.23613958824904,2.74007282272363,4.19786335656849,3.61857032240965,5.66230213336456,1.98855495247512,0.346480135161143,1.10503756894916
3.02886284727317,4.03800607094398,4.59270515098022,2.22565594751101,3.09304973895733,-3.69377150994081,-4.15773001771707,-4.77406761543109,2.86293047024654,2.93276101729045,4.18461984413174,2.2695618556096,3.01212376149801,3.09088943371406,-3.01154337823391,-2.39584205517402,4.14819290913068,4.54085069069496,5.34784027613126,-4.98742419389578,4.48963077870699,3.69080772033105,2.38983790966181,3.38428160456511,2.77282292957489,-0.492119149175974,0.656918364476699,-0.575643101678445,3.75190559258828,5.29331171420904,5.898354777923,3.59325532552141,4.16991056272617,1.36873301451023,4.02864114687993,5.30297734586952,6.10341864549197,4.37946359790288,4.44374848283254,5.28585242835375,0.38977859547505,4.61989379204237,5.97834415435791,5.46417795620286,-1.13247478283369,-3.21180852711774,-1.66856844837849,-3.83415611065351,-3.45652845341426,5.40050739875207,1.47596555764859,4.76533831633054,3.06881001729232,-3.13143239537111,4.76016853795602,1.44595348571356,2.41108297476402,4.36447641356633,4.82287640158947,3.23679740383075,3.73974461555481,4.43104758251172,5.34060297745925,2.45294485986233,2.37880491751891,1.57627881719516,3.30973142660581,4.00486063957214,4.35113497880789,2.95161061218152,3.38724520206451,2.68488210809345,3.15332089387454,3.54467419494803,3.59653020867935,6.01052279472351,2.70290097685961,-1.17118909032299,-0.906358627000233
