bb02_mri0_mask,bb02_mri3_mask,bb02_mri6_mask,bb04_mri0_mask,bb04_mri6_mask,bb05_mri0_mask,bb05_mri3_mask,bb05_mri6_mask,bb07_mri0_mask,bb07_mri3_mask,bb07_mri6_mask,bb11_mri0_mask,bb11_mri3_mask,bb11_mri6_mask,bb12_mri3_mask,bb12_mri6_mask,bb14_mri0_mask,bb14_mri3_mask,bb14_mri6_mask,bb15_mri3_mask,bb17_mri0_mask,bb19_mri6_mask,bb22_mri0_mask,bb24_mri3_mask,bb27_mri0_mask,bb28_mri3_mask,bb28_mri6_mask,bb28_mri12_mask,bb32_mri0_mask,bb32_mri6_mask,bb32_mri12_mask,bb33_mri3_mask,bb33_mri6_mask,bb35_mri6_mask,bb37_mri0_mask,bb37_mri6_mask,bb37_mri12_mask,bb40_mri3_mask,bb40_mri6_mask,bb40_mri12_mask,bb41_mri0_mask,bb42_mri3_mask,bb42_mri6_mask,bb42_mri12_mask,bb44_mri0_mask,bb46_mri0_mask,bb46_mri3_mask,bb51_mri0_mask,bb51_mri3_mask,bb52_mri6_mask,bb53_mri0_mask,bb55_mri12_mask,bb56_mri0_mask,bb56_mri6_mask,bb56_mri12_mask,bb59_mri0_mask,bb62_mri0_mask,bb62_mri6_mask,bb62_mri12_mask,bb63_mri0_mask,bb64_mri0_mask,bb64_mri6_mask,bb66_mri6_mask,bb67_mri0_mask,bb67_mri3_mask,bb69_mri0_mask,bb69_mri3_mask,bb75_mri0_mask,bb75_mri3_mask,bb77_mri0_mask,bb77_mri3_mask,bb78_mri0_mask,bb78_mri3_mask,bb79_mri0_mask,bb82_mri6_mask,bb61_mri12_mask,bb50_mri3_mask,bb47_mri6_mask,bb47_mri12_mask
-2.25238989293575,-1.99640231579542,-1.90777150169015,-6.54524719715118,-6.42240166664124,-5.96634835004807,-4.18773090839386,-5.4122009575367,-6.80613958835602,-8.03005295991898,-7.23799169063568,-6.79574221372604,-7.49751341342926,-7.16729259490967,-1.73619719594717,-1.16768796741962,-2.10317654907703,-2.71330551803112,-2.76042234897614,-6.61479777097702,-2.96696332097054,-1.93992565572262,-2.75194332003593,-5.03395119309425,-3.26417373120785,0.724267586134374,2.02164867473766,1.00751269771717,-5.61487281322479,-6.06599414348602,-6.26906937360764,-7.64502227306366,-8.84872126579285,-4.61862057447433,-3.38562050461769,-4.36920744180679,-3.80191969871521,-4.40444651246071,-5.2985503077507,-4.27435590326786,-4.27157539129257,-7.25512254238129,-6.19625812768936,-7.18913727998734,-7.97790092229843,-7.42114388942719,-8.14499151706696,-2.59299167990685,-1.93329757452011,-8.74976873397827,-6.81095016002655,-4.72754210233688,-3.34066304564476,-9.75253140926361,-3.84724506735802,-8.49922049045563,-7.59302520751953,-6.68833386898041,-7.51699090003967,-7.17023986577988,-4.24966770410538,-4.86203983426094,-6.74121284484863,-5.18075984716415,-5.12665632367134,-6.23575747013092,-5.76147556304932,-6.11834758520126,-6.30978965759277,-7.38373678922653,-9.19508373737335,-6.85909390449524,-6.88569664955139,-5.94054758548737,-4.59855151176453,-8.83072376251221,-7.15174007415771,-4.48907095193863,-5.84807294607162
-1.66184699794521,-0.768174833577612,-0.97307583624902,-5.79144156497458,-5.36909038087596,-5.2840578659721,-3.93647976025291,-4.80263337881669,-6.16472708660623,-7.49381148296854,-7.07790613174438,-6.51883643606435,-7.07347884385482,-7.07611125448476,-3.20707980446194,-2.75512313324472,-1.78821279691613,-2.2235353919475,-1.97113710641861,-5.49462299761565,-3.68667662662009,-1.46645165591136,-2.27405877994454,-4.27018845081329,-2.39343408227939,1.16113056728373,2.73157802337538,1.67545707774875,-4.9547217928845,-4.87125350081402,-4.84110774682916,-6.51953249392302,-7.65517097970714,-4.69734486289646,-2.86485830078954,-3.52668361041857,-3.10093149672384,-3.63494662357413,-4.41346798383671,-3.57801571877106,-4.09522246277851,-6.36683826861174,-5.45068238092505,-6.46226338718248,-7.03127005825872,-7.08404308816661,-7.83018669874772,-1.64554618363795,-1.03925016818001,-8.25362560023432,-5.87473069066587,-3.56203723731248,-2.80541225619938,-8.5240915339926,-2.7759503774021,-8.03384704175203,-6.6696923090064,-5.78739901210951,-6.47671413421631,-6.9080026668051,-4.15451256088589,-4.59986049195995,-6.14815336724986,-4.48609232902527,-3.91741515242535,-5.7383628928143,-5.33081100298011,-5.33796314571215,-5.51641908935879,-6.81687272113302,-8.49672066647073,-5.99423434423364,-5.92346925320833,-5.76441877821217,-3.80429543619571,-7.35870769749517,-6.26473833167035,-3.53190051991007,-4.75874627154806
-1.79905427450484,-0.238455836120093,-0.0980186863929372,-4.81170883503827,-4.03616966578093,-4.63503724065694,-4.01786668598652,-4.03667812184854,-5.38517739556052,-6.40277768265117,-6.61223678697239,-5.93104533715682,-6.17156479575417,-6.53015394644304,-5.45993429693309,-5.44357741149989,-1.9852485258836,-2.02404138411988,-1.45904052342204,-4.00369746847586,-4.74789315462112,0.0434254790571603,-2.12124791741371,-3.11747665500099,-1.23179000086913,1.90143780240958,3.63437951694835,2.86010549297895,-3.35323244875128,-2.95733499933373,-3.10049040446227,-4.58334837989374,-5.49995790015567,-4.2546289563179,-2.41432036053051,-2.67713709863495,-2.38548132853413,-2.47450794211843,-3.00311920656399,-2.0755929115059,-4.00152435627851,-5.04169396378777,-4.33055619759993,-5.0567243532701,-5.28551621870561,-6.15456119992516,-6.95960116386414,-0.616274817423387,0.608820041027767,-7.24169715968045,-4.17300749908794,-1.95499479669062,-2.07111385634,-6.49144006046382,-1.66783293302764,-6.84213519638235,-4.77453394640576,-3.83207372440533,-4.39265167171305,-6.23444354534149,-4.13095047528093,-4.1006535670974,-5.05568870089271,-3.40136979181658,-2.64035005528818,-5.29691903157668,-5.16966432874853,-4.44337780096314,-4.37451448443938,-5.7670753327283,-7.18199111114849,-4.05378491228277,-3.77939040010626,-5.36568357727744,-3.78287433138625,-5.49616149338809,-5.10995862700722,-1.98840147798712,-3.05630786886269
-2.22347902578692,-0.558207872894502,-0.128509942637456,-3.89466497590465,-2.82282842368999,-3.94284688176647,-3.81691903548856,-3.47267441932232,-4.35009036141057,-4.95860458573987,-5.36411078514591,-4.97498905658722,-5.08353810156545,-5.66283667472101,-6.61394863743936,-6.73449727412193,-2.20608476994018,-2.1536823309237,-1.47143944446467,-3.12768472394636,-4.85694306127487,1.13418820836852,-2.03413634362721,-1.86997829810266,-0.481459621430164,2.09251934962888,3.84505796522623,3.50569991533074,-1.92974652639861,-1.39077063671674,-1.50796777094083,-2.71298513351189,-3.36088788641557,-3.29727705832451,-2.08316568309261,-2.02515243666787,-1.50651585899534,-1.59744073787043,-2.17790135693166,-1.54422923854943,-3.23087578915781,-3.65546548462683,-3.14385528622135,-3.80318641662598,-3.33602524704991,-5.00787208661918,-5.32447319453762,-0.325054068632814,1.27767660853363,-5.67985261640241,-2.49015800294376,-0.658642957197322,-1.60471548909141,-4.42690730647695,-1.22389685314509,-5.27330406250492,-2.94942258439598,-2.12965205774432,-2.47741533142905,-5.02968036359356,-4.17241805984128,-4.34684686314675,-4.03905092311963,-2.58733594970357,-1.55616274716393,-5.0299199012018,-5.13321386614153,-3.67566612651271,-3.53110516936548,-4.40395447515672,-5.4201771636163,-2.04836966433833,-2.00168372931019,-4.71072949901704,-3.65869475829024,-3.27738501341833,-3.57854189074809,-0.710006585945525,-1.53792802316527
-3.24155613780022,-1.83839164262948,-1.18776025376024,-2.88659859283103,-1.78189495478162,-3.13314591886269,-2.94091686399447,-2.69258441755341,-3.35266739212804,-3.76495563238859,-4.07694534502096,-4.12978258232276,-3.98672804815902,-4.70525979499022,-7.04557232724296,-7.26915307839711,-2.33998477065729,-2.6701783856584,-2.03106012040128,-3.08320144232776,-4.49512014620834,2.07397245243192,-2.01653561226299,-0.730162573771344,0.280413490823574,2.1200593765825,3.67066415632144,3.66474640410807,-0.906457717640377,-0.334964708302222,-0.0384558564465907,-0.873847556196981,-1.30185405972103,-1.90549769340497,-1.93679944030171,-1.16819453922411,-0.554342852646692,-1.39577555170076,-1.97446119826701,-1.59841041039262,-2.120348189647,-2.50218145839042,-2.15481288793186,-2.61340730378611,-1.53916416575925,-4.0905242415352,-3.40225190669298,-0.631827688009556,1.1672817416903,-4.02532673213217,-0.791993088800357,0.390672861081031,-1.62498952096535,-2.70918422078507,-1.73390802544438,-3.78312617333399,-1.18256536224443,-0.278406000126981,-0.489990683479442,-3.77077556313533,-4.45239044394758,-5.19262855168846,-3.33747595165753,-1.65283679405952,-0.753692606670989,-5.08691917525397,-5.0960727499591,-3.70629790922006,-3.3740071610858,-3.25590985516707,-3.82008745636429,-0.052380015866624,-0.0504482802417543,-3.84070031531155,-3.76991379126492,-1.18942390972128,-2.25244090876852,0.498776524327695,-0.165131808982955
-3.9691638068149,-3.36688510563813,-2.78276571298116,-1.88747121187809,-1.12850446077554,-2.01252634333153,-1.66017435652841,-1.58494345019694,-2.41459118709654,-2.54186710323158,-2.56312646599192,-3.09611209638809,-2.79192080167367,-3.51072559103762,-6.18861018983941,-6.1661852441336,-2.15031102897697,-2.75915673669232,-2.61757805708208,-3.44849208409065,-3.49628555696262,1.79095505334829,-1.9943513811664,0.112978996022751,1.03998888538856,1.31175450882629,2.64448157580275,2.56496126792933,-0.44358997556724,0.0161993554548213,0.700424678427608,0.176933209166715,0.0283424344501997,-0.661690236020245,-1.41521314323396,-0.245651071940206,0.267592803673132,-1.89383071964901,-2.43067034961362,-2.36020353612931,-0.734248798937953,-1.65929092506045,-1.19934141145725,-1.53354056047178,-0.196780451328347,-3.40985000760932,-1.78876251178352,-1.27459080948641,-0.037564697577373,-2.35342158181103,0.422148179667267,0.947979926768886,-1.96552307276656,-1.32115657519745,-2.56171280459354,-2.55895366990253,0.0954955791025177,0.96619718139501,1.04188825131247,-2.63860137623392,-4.49076970313725,-5.6121304223412,-2.47309743225771,-0.958993694720496,-0.428338813546457,-4.87483870041998,-4.47708795415728,-3.74147588955729,-3.4924337785495,-2.26331525795946,-2.67278380949344,1.22301607010396,1.4153245405147,-2.61751997470856,-3.41273656114936,0.557282693488033,-1.22473796118835,1.41865954452537,0.767901018850113
-4.29977705966995,-4.25981751484768,-4.0281410149063,-0.662759687078286,-0.313265442489141,-0.760498500552522,-0.065871551139168,-0.104622858380113,-1.76264743836799,-1.58779513225498,-1.57082090535796,-2.40037281793284,-1.78979178863656,-2.40576310303197,-4.91288226986506,-4.74213602348983,-1.57689049139798,-1.99808418714857,-2.28432379005454,-3.66214804643069,-2.70882565824382,0.713066399636039,-2.25876733158008,0.798779961933573,1.92918387791478,-0.452914689050381,0.898284533206957,0.238138465210795,-0.499386394615229,-0.3139716156994,0.845551715109004,0.77593561450401,1.08591020888234,0.375226422964808,-0.771230347053406,0.475109476281936,0.590115997401706,-2.95606347218335,-3.3707131703934,-3.29507466414607,0.0591377703899361,-1.09339277356504,-0.42043025181236,-0.615871747888355,0.667716836444585,-2.672495679683,-0.671834804207446,-1.80983418657119,-1.01019847626428,-0.922406711671726,1.29424318383975,0.913250369031027,-2.55943610025458,-0.325514615030892,-3.20859586438501,-1.83042380693986,0.907605935471604,1.81492108315319,2.26011602454875,-1.98220158395279,-4.38477155673935,-5.41446895484465,-1.54852728156306,-0.404049658833677,-0.134994773620582,-4.23697825081377,-3.32393214465624,-3.63340945990689,-3.56703065676861,-1.54124851677432,-1.888059288196,2.03412049434271,2.23016319361078,-1.47464830491198,-2.36646768343018,1.78666665934655,-0.866873842809933,1.8388439205262,1.46341024913702
-3.94036164273356,-4.27964926874915,-3.9934468978886,0.739584337746681,0.853600037273366,0.304885979308638,0.9170632805502,1.12795207710655,-1.1583619085682,-0.61939848439638,-0.575691507999287,-1.63700920828553,-0.729040568217982,-1.13159920431154,-3.78697894097761,-3.5186607863884,-0.85030446929294,-1.05417327929375,-1.33617519899163,-3.74885372938805,-2.24485669579617,-0.332100242571255,-2.59054294783016,1.47764094901639,2.308282304122,-2.35361685629847,-1.23072236607414,-2.34337103819518,-0.662328451178795,-0.503371279210199,0.616785878012347,1.42775883179071,1.80900913598232,1.510322146161,-0.0339170053904486,0.758636592031825,0.41860609436895,-3.83063236398752,-3.93858615464942,-4.10007086500179,0.282564958679317,-0.735516744990682,0.13879346397034,0.0623572808798662,1.44548000464606,-1.87751502487375,0.112146207239739,-1.93556410698004,-1.27579040036992,0.358570132837739,1.84772089799476,0.485201316820674,-3.15856231887673,0.717895623902942,-3.83155143018379,-1.21766789001954,1.19327105997607,2.30339367601068,3.20009397732657,-1.46257170341736,-3.96635856184849,-4.67597183446552,-0.605749458767647,0.255295601868352,0.634046992243722,-3.14096818890336,-1.9543849060875,-3.27128019027932,-3.44490547374237,-0.68671256615672,-0.872785709809165,2.23085916111636,2.55954830491439,-0.91555185719978,-1.23607604963662,2.68520949642326,-0.808423323210242,2.00495724349694,1.90109076125677
-2.72377163458329,-3.24055599554991,-2.93816723196934,2.08112295229848,2.3595750969954,1.18883773780022,1.65266078099226,1.93706833155682,-0.297825504476443,0.542039876947036,0.693957407505084,-0.65441803022837,0.638097466948705,0.216232051834082,-2.63095357414717,-2.29935115805039,-0.0632595245081645,-0.0620993986869088,-0.12376450212338,-3.22191886030711,-1.47596011062463,-1.04371232319719,-2.4042476438559,2.16631651612429,2.40892194316555,-3.84775259479498,-3.20999302853567,-4.33094131784179,-0.216683437426885,0.179626069795818,1.09510093831863,2.02737076637837,2.43956696719695,2.30684247039832,0.249085082457616,0.703631515304248,0.170520231127739,-4.0698941839047,-3.71919543468035,-4.10801637287323,0.351734447746705,0.265835354343439,1.12747993836036,1.10196815856183,1.95761627016159,-0.37054208945483,1.43049899947185,-1.51567811136826,-0.921287724318413,1.39910341398074,1.98691872048836,0.317307882201977,-3.23768239812209,1.28103479055258,-3.73088850233799,-0.651548214304524,1.23796203121161,2.37603324651718,3.66871128441432,-0.467528646382002,-3.09502864908427,-3.79600487472728,-0.0140149546130441,1.17500913869112,1.43141478643968,-1.5765438018701,-0.283659763538685,-2.37566969472055,-2.57677749334238,0.242225286288139,0.263925589334506,2.40084726386107,2.87504015213404,-0.500056312634395,0.0208053508152564,3.45821592440972,-0.500431583525661,2.24584889345062,2.48100484162569
0.333501722324978,0.162013150709258,0.532821718434041,3.02867568325548,3.78229738907381,2.40860012122853,2.68221843124113,3.00863542141054,1.62758979201317,2.48428948511454,2.89761975847862,1.31803711977872,2.48447027827867,2.58900501621379,0.649579076265747,0.880334941479801,1.50149310346354,1.69703117148443,2.11017125838606,-0.248492751185867,0.651456079361114,-0.506156258983538,-0.536688453962349,3.09768287058581,1.38537243965336,-1.5980927747759,-1.56784377585758,-1.74908262787556,1.25001594153318,2.02783974327824,3.01459966658149,3.08551149849187,3.72380041466518,3.29141121560877,0.855628842657263,1.69354313205589,1.4287790954113,-1.38212557797405,-0.512847913937135,-0.749351860955358,0.794642987576398,1.93750648335977,2.53862011026252,2.61374111609025,2.93616719137539,2.91763037805107,4.00274633988738,0.637161574580453,1.08391759577948,3.1634300686419,2.49619990692008,1.8915269010785,-1.19280534694818,3.00209974158894,-0.726896509697491,1.6650146284056,0.939791567284953,2.34209614856677,3.54977179725062,1.55332349020649,-0.334740326422351,-0.463434483855963,1.17136407656256,2.20743840120055,2.03196654096246,0.828597343823111,1.987745849204,0.498594746586274,0.549893561835316,1.68743611364202,1.99541020833633,3.30279844662767,3.94370916858315,0.874546415257183,2.7146726467816,4.63165531510657,0.448065328665755,3.4020413486287,3.47553979723968
