Subject,Group,RegAge,LogAge
bb02_mri0_mask,1,29,1.46239799789896
bb02_mri3_mask,1,85,1.92941892571429
bb02_mri6_mask,1,185,2.26717172840301
bb04_mri0_mask,2,23,1.36172783601759
bb04_mri6_mask,2,189,2.27646180417324
bb05_mri0_mask,3,24,1.38021124171161
bb05_mri3_mask,3,91,1.95904139232109
bb05_mri6_mask,3,189,2.27646180417324
bb07_mri0_mask,4,37,1.56820172406699
bb07_mri3_mask,4,95,1.97772360528885
bb07_mri6_mask,4,179,2.25285303097989
bb11_mri0_mask,5,24,1.38021124171161
bb11_mri3_mask,5,78,1.89209460269048
bb11_mri6_mask,5,167,2.22271647114758
bb12_mri3_mask,6,104,2.01703333929878
bb12_mri6_mask,6,181,2.25767857486918
bb14_mri0_mask,7,31,1.49136169383427
bb14_mri3_mask,7,79,1.89762709129044
bb14_mri6_mask,7,174,2.2405492482826
bb15_mri3_mask,8,104,2.01703333929878
bb17_mri0_mask,9,18,1.25527250510331
bb19_mri6_mask,10,177,2.24797326636181
bb22_mri0_mask,11,30,1.47712125471966
bb24_mri3_mask,12,94,1.9731278535997
bb27_mri0_mask,13,35,1.54406804435028
bb28_mri3_mask,14,94,1.9731278535997
bb28_mri6_mask,14,227,2.35602585719312
bb28_mri12_mask,14,368,2.56584781867352
bb32_mri0_mask,15,17,1.23044892137827
bb32_mri6_mask,15,182,2.26007138798507
bb32_mri12_mask,15,360,2.55630250076729
bb33_mri3_mask,16,135,2.13033376849501
bb33_mri6_mask,16,190,2.27875360095283
bb35_mri6_mask,17,166,2.22010808804005
bb37_mri0_mask,18,50,1.69897000433602
bb37_mri6_mask,18,212,2.32633586092875
bb37_mri12_mask,18,373,2.57170883180869
bb40_mri3_mask,19,123,2.0899051114394
bb40_mri6_mask,19,190,2.27875360095283
bb40_mri12_mask,19,372,2.5705429398819
bb41_mri0_mask,20,47,1.67209785793572
bb42_mri3_mask,21,133,2.12385164096709
bb42_mri6_mask,21,195,2.29003461136252
bb42_mri12_mask,21,399,2.60097289568675
bb44_mri0_mask,22,38,1.57978359661681
bb46_mri0_mask,23,35,1.54406804435028
bb46_mri3_mask,23,96,1.98227123303957
bb51_mri0_mask,24,14,1.14612803567824
bb51_mri3_mask,24,144,2.15836249209525
bb52_mri6_mask,25,212,2.32633586092875
bb53_mri0_mask,26,27,1.43136376415899
bb55_mri12_mask,27,398,2.59988307207369
bb56_mri0_mask,28,9,0.954242509439325
bb56_mri6_mask,28,199,2.29885307640971
bb56_mri12_mask,28,418,2.62117628177504
bb59_mri0_mask,29,34,1.53147891704226
bb62_mri0_mask,30,44,1.64345267648619
bb62_mri6_mask,30,182,2.26007138798507
bb62_mri12_mask,30,392,2.59328606702046
bb63_mri0_mask,31,24,1.38021124171161
bb64_mri0_mask,32,29,1.46239799789896
bb64_mri6_mask,32,181,2.25767857486918
bb66_mri6_mask,33,201,2.30319605742049
bb67_mri0_mask,34,21,1.32221929473392
bb67_mri3_mask,34,111,2.04532297878666
bb69_mri0_mask,35,31,1.49136169383427
bb69_mri3_mask,35,113,2.05307844348342
bb75_mri0_mask,36,37,1.56820172406699
bb75_mri3_mask,36,106,2.02530586526477
bb77_mri0_mask,37,33,1.51851393987789
bb77_mri3_mask,37,113,2.05307844348342
bb78_mri0_mask,38,30,1.47712125471966
bb78_mri3_mask,38,141,2.14921911265538
bb79_mri0_mask,39,16,1.20411998265592
bb82_mri6_mask,40,198,2.29666519026153
bb61_mri12_mask,41,385,2.5854607295085
bb50_mri3_mask,42,88,1.94448267215017
bb47_mri6_mask,43,170,2.23044892137827
bb47_mri12_mask,43,393,2.59439255037543
